,tokenized_column
66,"['SA', 'Health', 'confirms', 'two', 'of', 'last', 'week', ""'s"", 'COVID-19', 'cases', 'are', 'the', 'Omicron', 'variant', 'https', ':', '//t.co/oAaIVuZn9n', 'via', '@', 'ABCaustralia']"
67,"['Good', 'Morning', 'All', ':', 'Last', 'week', 'of', 'term', '.', 'Flying', 'to', 'UK', 'on', 'Friday', '.', 'I', ""'m"", 'bricking', 'it', '-', 'all', 'the', 'bureaucracy', 'and', 'omicron', 'particles', '.', 'Oh', 'Well', '.', 'Be', 'kind', '-', 'watch', ',', 'like', ',', 'subscribe', ',', 'retweet', '....', 'have', 'a', 'great', 'day', '.', 'https', ':', '//t.co/yU5Z5wzODd']"
68,"['Omicron', 'variant', 'detected', 'in', 'Altamonte', 'Springs', 'sewage', '-', 'WESH', '2', 'Orlando', 'https', ':', '//t.co/jAqCxSVVQc']"
69,"['@', 'MattLayden1', '@', 'AdamWetstein1', '@', 'RodBlackTV', 'Maybe', 'we', 'should', 'have', 'called', 'it', 'the', 'Omicron', 'Cup', '?', 'I', 'suppose', 'it', '’', 's', 'easier', 'to', 'have', 'collective', 'amnesia', 'than', 'to', 'admit', 'that', 'a', 'big', 'chunk', 'of', 'Canadians', 'are', 'still', 'talking', 'this', 'pandemic', 'seriously', '🤷🏼\u200d♂️']"
70,"['England', 'Deaths', 'Estimated', 'at', '75000', 'This', 'Winter', 'on', 'Omicron', ':', 'Study', '-', 'Bloomberg', 'https', ':', '//t.co/k4PMXmY9US']"
71,"['Some', 'things', 'that', 'once', 'appear', 'mild', 'or', 'benign', 'later', 'will', 'not', 'be', 'so', '.', 'COVID', 'as', 'a', 'trigger', 'for', 'autoimmunity', 'would', 'apply', 'in', 'the', 'case', 'of', 'all', 'those', '``', 'breakthough', ""''"", 'Omicron', 'infections', 'now', 'affecting', 'vaccinated', 'and', 'boosted', 'persons', '.', 'https', ':', '//t.co/I24ozSWcsL', 'https', ':', '//t.co/W55XDSP8ja']"
72,"['‘', 'Omicron', 'may', 'kill', '25k', 'to', '75k', 'in', 'England', 'if', 'measures', 'not', 'taken', '’', 'https', ':', '//t.co/nxL748z33o']"
73,"['@', 'segal_eran', 'רק', 'בישראל', '-', 'מנכ', ""''"", 'ל', 'רשת', 'הבריאות', 'הפרטית', 'הגדולה', 'ביותר', 'בדרום', 'אפריקה', 'אומר', 'שהגרסה', 'של', 'Omicron', 'היא', '``', 'כל', 'כך', 'מתונה', ""''"", 'שהיא', '``', 'עשויה', 'לאותת', 'על', 'קץ', 'COVID-19', ""''"", '.', 'לדברי', ""ריצ'רד"", 'פרידלנד', ',', 'מנכ', ""''"", 'ל', 'Netcare', 'Ltd.', ',', 'הימים', 'הראשונים', 'של', 'הגרסה', 'מצביעים', 'על', 'כך', 'שאין', 'צורך', 'להיכנס', 'לפאניקה', 'ושזה', 'באמת', 'יכול', 'להיות', 'דבר', 'טוב', '.', 'https', ':', '//t.co/E5HtImi6GS']"
74,"['Cherry', 'on', 'the', 'top', 'in', 'this', 'rising', 'case', 'of', 'omicron', 'Indian', 'Railways', 'allowed', 'passenger', 'to', 'travel', 'on', 'waiting', 'tickets', 'i.', 'e', 'not', 'confirmed', '..', 'I', 'request', 'to', '@', 'PiyushGoyal', 'please', 'lookinto', 'the', 'matter', 'cz', 'its', 'in', 'public', 'interest', 'and', 'health', '.']"
75,"['CANADA', ',', 'just', 'to', 'be', 'clear', '@', 'CPHO_Canada', 'last', 'year', 'at', 'this', 'time', 'said', 'we', 'would', 'have', '20,000', 'cases', 'a', 'day', 'across', 'Canada', 'that', 'was', 'with', 'Delta', '.', 'Now', 'she', 'is', 'saying', '10,000', 'with', 'Omicron', '.', 'So', 'she', 'is', 'admitting', 'virus', ""'s"", 'mutate', 'and', 'are', 'less', 'dangerous', '.', 'We', 'did', ""n't"", 'have', '20,000.', 'https', ':', '//t.co/5dkxIHICB5']"
